Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1799.887288
FDW14,OUT017,1435.936931
NCN55,OUT010,627.4110565
FDQ58,OUT017,2439.599068
FDY38,OUT027,5644.615975
FDH56,OUT046,1976.372059
FDL48,OUT018,682.1907465
FDC48,OUT027,2218.119556
FDN33,OUT045,1513.973224
FDA36,OUT017,3208.61533
FDT44,OUT017,1822.272456
FDQ56,OUT045,1271.009758
NCC54,OUT019,508.3354844
FDU11,OUT049,2049.806299
DRL59,OUT013,781.1335055
FDM24,OUT049,2500.175216
FDI57,OUT045,2596.770672
DRC12,OUT018,2975.349506
NCM42,OUT027,2859.247175
FDA46,OUT010,426.4510166
FDA31,OUT013,2906.158344
NCJ31,OUT035,3917.52164
FDG52,OUT046,751.5484837
NCL19,OUT019,314.1518627
FDS10,OUT035,2862.442447
FDX22,OUT010,548.164015
NCF19,OUT035,741.1207218
NCE06,OUT046,2688.310748
DRC27,OUT046,3842.03015
FDE21,OUT035,1761.119118
NCR42,OUT019,129.877418
FDX51,OUT018,2549.474812
NCR06,OUT018,614.2299472
FDU31,OUT027,5383.72473
FDU59,OUT017,2630.483005
FDR03,OUT027,5138.906286
FDS49,OUT027,2146.125643
FDD48,OUT010,224.3224932
NCF18,OUT017,3385.744565
NCD43,OUT027,2745.658921
NCD54,OUT018,2049.224471
FDY19,OUT010,214.3990613
NCY54,OUT017,2886.483728
NCL19,OUT018,2046.287829
FDP23,OUT010,605.4136617
FDC26,OUT013,1734.77502
FDR14,OUT010,94.51081626
NCS41,OUT035,2920.630464
FDF41,OUT035,4196.689639
FDU34,OUT046,1985.621862
DRH11,OUT046,834.9255742
FDM03,OUT013,1637.993897
FDS31,OUT017,3181.536948
FDJ20,OUT017,2012.371845
FDV44,OUT027,4914.734054
FDG02,OUT049,3269.027303
FDA09,OUT013,3018.587733
FDT04,OUT013,644.7758412
FDL58,OUT019,817.8567024
FDE52,OUT045,1454.871502
FDW12,OUT035,2278.17181
FDL51,OUT017,4180.071392
NCY42,OUT027,3449.789296
FDR07,OUT017,1474.865625
FDN40,OUT045,2312.26208
FDB35,OUT027,2394.359161
FDA22,OUT017,2681.109926
NCL06,OUT046,4119.679028
FDI35,OUT013,3131.963504
NCW42,OUT045,3339.622085
NCX06,OUT049,3124.450401
FDC37,OUT027,2938.569195
FDZ14,OUT018,1805.652219
DRG49,OUT049,4363.771226
NCG06,OUT045,3619.522054
DRC36,OUT045,2888.312595
FDV21,OUT019,232.6723269
FDB53,OUT046,2307.650512
DRP47,OUT019,522.7028652
FDA14,OUT013,2235.750937
DRC24,OUT035,2376.788126
FDW21,OUT018,1476.508646
NCH29,OUT046,1590.176376
FDU58,OUT013,3258.746587
FDY27,OUT017,2975.488121
FDV56,OUT035,1754.354744
FDT59,OUT046,3729.554397
FDB23,OUT046,3511.646347
FDR49,OUT045,687.2722859
FDB03,OUT010,566.583685
FDN39,OUT045,2734.318286
FDX02,OUT027,5890.64164
FDQ16,OUT027,2939.464627
FDU35,OUT018,1372.749023
NCT29,OUT013,1981.73754
FDZ27,OUT046,767.9363602
FDN57,OUT017,2153.896414
FDA03,OUT018,2128.78393
FDZ36,OUT045,3055.546262
NCU05,OUT013,1339.542554
FDT39,OUT018,2130.24163
FDK60,OUT017,1573.591435
FDZ25,OUT017,2907.970405
FDG12,OUT046,2080.034407
DRB01,OUT019,427.4456396
NCC43,OUT027,6662.141951
FDX13,OUT019,690.9175488
FDM22,OUT049,872.6721288
FDJ03,OUT027,1367.52104
FDU14,OUT018,3604.852771
FDB33,OUT010,312.097951
FDP27,OUT046,3326.068641
FDO38,OUT010,147.2347472
FDE28,OUT027,5528.490713
FDO27,OUT035,1502.257949
DRL23,OUT027,2940.14233
FDS28,OUT046,857.0555175
FDX24,OUT013,1494.146124
FDZ02,OUT035,1557.818411
FDL46,OUT045,1721.904314
FDS60,OUT027,5042.487573
NCO06,OUT017,625.0016177
FDO16,OUT035,1295.931107
FDC60,OUT049,1506.261485
FDA48,OUT018,3313.078585
FDZ36,OUT027,4750.603123
FDK27,OUT045,1792.439031
FDW23,OUT018,567.7698255
FDM14,OUT018,1554.536964
FDM14,OUT013,1733.162125
FDW60,OUT018,2352.718403
FDE21,OUT013,1868.024762
NCM42,OUT035,1672.704538
FDY59,OUT010,189.7501084
DRI49,OUT049,1281.813307
FDT28,OUT019,316.1625943
FDQ22,OUT018,586.7503002
FDR60,OUT049,1246.956066
FDC50,OUT019,195.0810493
FDV24,OUT013,2338.896271
DRF48,OUT010,439.4317813
FDQ47,OUT046,660.1496809
DRN36,OUT049,1607.183695
NCY06,OUT035,1977.058117
FDE52,OUT035,1461.385041
NCB54,OUT045,1907.267098
NCF31,OUT035,2369.142985
FDJ08,OUT027,5267.123034
NCC07,OUT017,1655.648197
NCD19,OUT027,1478.897621
FDL46,OUT049,1976.081443
FDM20,OUT045,3756.777419
NCI06,OUT010,408.8124801
DRM11,OUT035,4297.870546
NCH07,OUT018,2307.761139
FDS23,OUT013,2054.601276
FDO49,OUT018,679.6908501
FDS35,OUT049,946.9262189
DRK39,OUT045,1245.750856
DRI39,OUT049,880.0974024
FDV04,OUT017,2543.445866
NCN14,OUT035,2869.508731
FDH08,OUT013,4244.759846
FDS20,OUT046,3228.88456
FDV40,OUT049,1291.950398
FDZ48,OUT010,199.2912769
FDS24,OUT027,2400.002107
FDK44,OUT049,3006.892007
FDS48,OUT045,2284.868284
FDK26,OUT010,493.8630255
FDD23,OUT045,2985.756492
NCH54,OUT017,2625.046113
NCP14,OUT010,209.5718659
FDM60,OUT010,92.20106487
FDV24,OUT017,2325.743556
FDH08,OUT018,2963.665543
FDS12,OUT027,3319.62918
FDR39,OUT027,5052.264333
FDP12,OUT027,1179.447599
DRF60,OUT027,6528.86609
FDC09,OUT035,1654.29506
FDF50,OUT018,3083.259995
FDG28,OUT035,4206.958676
NCE19,OUT017,809.5122604
NCM53,OUT010,206.3760618
NCN18,OUT049,1839.39384
FDF32,OUT035,3009.416597
FDF11,OUT013,4080.172941
DRI59,OUT049,3964.966314
NCG54,OUT035,2746.419503
FDM44,OUT046,1614.60702
FDT57,OUT018,3305.204487
FDV24,OUT046,2407.748207
FDI50,OUT019,669.5639301
FDS09,OUT035,786.143895
NCC31,OUT027,3908.485285
FDQ07,OUT019,526.2865984
FDC22,OUT017,3402.874201
FDZ56,OUT046,2881.37209
FDZ40,OUT019,148.5292618
FDS46,OUT027,3211.719956
DRD24,OUT045,2087.547159
FDV45,OUT017,3325.5298
FDL26,OUT045,2394.318645
FDA56,OUT018,1751.459278
FDN27,OUT046,1869.816893
FDM20,OUT049,4342.944115
FDO16,OUT017,1286.891885
FDL03,OUT035,3091.468103
FDE58,OUT046,1851.237672
FDI02,OUT027,2944.616417
NCC55,OUT019,132.5077265
FDR03,OUT018,2646.16493
FDB14,OUT017,1504.477494
FDR45,OUT013,4328.829674
NCN07,OUT017,2067.476066
FDM51,OUT019,281.3935202
FDT52,OUT027,6177.868901
FDL26,OUT046,2477.823815
